"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"1",0,0,2000,0,"subject","mean",0.72575,0.63475,0.79958,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"2",0.8,0,2000,0,"subject","mean",0.7212,0.6171,0.79629,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"3",0.9,0,2000,0,"subject","mean",0.72314,0.63395,0.79552,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"4",0,100,2000,0,"subject","mean",0.72688,0.62948,0.80414,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"5",0.8,100,2000,0,"subject","mean",0.72482,0.63094,0.8046,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"6",0.9,100,2000,0,"subject","mean",0.72895,0.62314,0.79924,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"7",0,200,2000,0,"subject","mean",0.71174,0.5954,0.79451,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"8",0.8,200,2000,0,"subject","mean",0.71234,0.60564,0.80337,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"9",0.9,200,2000,0,"subject","mean",0.71117,0.58751,0.79458,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"10",0,0,3000,0,"subject","mean",0.72467,0.63162,0.79802,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"11",0.8,0,3000,0,"subject","mean",0.72689,0.63913,0.8002,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"12",0.9,0,3000,0,"subject","mean",0.72489,0.63828,0.79817,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"13",0,100,3000,0,"subject","mean",0.73397,0.64598,0.80955,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"14",0.8,100,3000,0,"subject","mean",0.72853,0.62716,0.80987,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"15",0.9,100,3000,0,"subject","mean",0.73414,0.63622,0.80499,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"16",0,200,3000,0,"subject","mean",0.72233,0.62469,0.80322,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"17",0.8,200,3000,0,"subject","mean",0.71123,0.60017,0.78909,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"18",0.9,200,3000,0,"subject","mean",0.71653,0.60827,0.80377,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"19",0,0,2000,1,"subject","mean",0.68349,0.57356,0.77587,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"20",0.8,0,2000,1,"subject","mean",0.68486,0.56824,0.77187,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"21",0.9,0,2000,1,"subject","mean",0.67912,0.56671,0.77204,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"22",0,100,2000,1,"subject","mean",0.71098,0.61838,0.7866,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"23",0.8,100,2000,1,"subject","mean",0.70938,0.5958,0.79966,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"24",0.9,100,2000,1,"subject","mean",0.71516,0.61929,0.8061,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"25",0,200,2000,1,"subject","mean",0.72491,0.59377,0.80325,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"26",0.8,200,2000,1,"subject","mean",0.72754,0.62337,0.81056,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"27",0.9,200,2000,1,"subject","mean",0.7213,0.6037,0.80365,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"28",0,0,3000,1,"subject","mean",0.74336,0.65883,0.8128,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"29",0.8,0,3000,1,"subject","mean",0.74496,0.65351,0.81957,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"30",0.9,0,3000,1,"subject","mean",0.74275,0.65232,0.81109,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"31",0,100,3000,1,"subject","mean",0.76112,0.66612,0.83264,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"32",0.8,100,3000,1,"subject","mean",0.76423,0.67479,0.83231,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"33",0.9,100,3000,1,"subject","mean",0.76173,0.67153,0.83095,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"34",0,200,3000,1,"subject","mean",0.7724,0.66933,0.83671,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"35",0.8,200,3000,1,"subject","mean",0.7726,0.68214,0.8407,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
