"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"1",0,0,2000,0,"subject","mean",0.57703,0.44641,0.69599,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"2",0.8,0,2000,0,"subject","mean",0.57907,0.44002,0.69313,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"3",0.9,0,2000,0,"subject","mean",0.58358,0.44052,0.68573,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"4",0,100,2000,0,"subject","mean",0.57513,0.41659,0.70129,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"5",0.8,100,2000,0,"subject","mean",0.5739,0.4205,0.69256,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"6",0.9,100,2000,0,"subject","mean",0.57566,0.43238,0.69164,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"7",0,200,2000,0,"subject","mean",0.56297,0.40169,0.68176,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"8",0.8,200,2000,0,"subject","mean",0.55071,0.37791,0.68069,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"9",0.9,200,2000,0,"subject","mean",0.5584,0.37315,0.69117,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"10",0,0,3000,0,"subject","mean",0.56158,0.41719,0.68528,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"11",0.8,0,3000,0,"subject","mean",0.57127,0.42481,0.69041,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"12",0.9,0,3000,0,"subject","mean",0.56882,0.43161,0.69653,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"13",0,100,3000,0,"subject","mean",0.56193,0.42935,0.68972,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"14",0.8,100,3000,0,"subject","mean",0.56484,0.4146,0.69296,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"15",0.9,100,3000,0,"subject","mean",0.56073,0.41377,0.6865,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"16",0,200,3000,0,"subject","mean",0.54759,0.37023,0.67401,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"17",0.8,200,3000,0,"subject","mean",0.55083,0.38736,0.68636,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"18",0.9,200,3000,0,"subject","mean",0.55111,0.39836,0.67547,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"19",0,0,2000,1,"subject","mean",0.4742,0.27959,0.61209,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"20",0.8,0,2000,1,"subject","mean",0.47566,0.27564,0.62369,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"21",0.9,0,2000,1,"subject","mean",0.47611,0.30282,0.63086,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"22",0,100,2000,1,"subject","mean",0.50574,0.32919,0.64174,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"23",0.8,100,2000,1,"subject","mean",0.49883,0.31558,0.65055,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
