"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"1",0,0,2000,0,"subject","mean",0.72106,0.62696,0.79514,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"2",0.8,0,2000,0,"subject","mean",0.7213,0.62586,0.79851,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"3",0.9,0,2000,0,"subject","mean",0.72151,0.62797,0.80287,107,46974,439.009345794393,1,0.914602803738318,"Stroop_1","internal_consistency"
"4",0,100,2000,0,"subject","mean",0.72767,0.63801,0.80199,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"5",0.8,100,2000,0,"subject","mean",0.72894,0.62418,0.80516,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"6",0.9,100,2000,0,"subject","mean",0.72904,0.63355,0.80455,107,46925,438.551401869159,1,0.913648753894081,"Stroop_1","internal_consistency"
"7",0,200,2000,0,"subject","mean",0.71228,0.6053,0.79611,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"8",0.8,200,2000,0,"subject","mean",0.70442,0.56711,0.78626,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"9",0.9,200,2000,0,"subject","mean",0.70886,0.57695,0.79485,107,46891,438.233644859813,1,0.912986760124611,"Stroop_1","internal_consistency"
"10",0,0,3000,0,"subject","mean",0.72545,0.6284,0.80313,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"11",0.8,0,3000,0,"subject","mean",0.72609,0.61952,0.7962,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"12",0.9,0,3000,0,"subject","mean",0.72608,0.63068,0.81048,107,47120,440.373831775701,1,0.917445482866044,"Stroop_1","internal_consistency"
"13",0,100,3000,0,"subject","mean",0.73674,0.64484,0.80712,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"14",0.8,100,3000,0,"subject","mean",0.73188,0.64728,0.80703,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"15",0.9,100,3000,0,"subject","mean",0.73303,0.64986,0.80629,107,47071,439.915887850467,1,0.916491433021807,"Stroop_1","internal_consistency"
"16",0,200,3000,0,"subject","mean",0.71088,0.5902,0.79586,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"17",0.8,200,3000,0,"subject","mean",0.716,0.60287,0.79778,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"18",0.9,200,3000,0,"subject","mean",0.71554,0.59176,0.80316,107,47037,439.598130841121,1,0.915829439252336,"Stroop_1","internal_consistency"
"19",0,0,2000,1,"subject","mean",0.67879,0.56567,0.76868,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"20",0.8,0,2000,1,"subject","mean",0.68391,0.57063,0.75955,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"21",0.9,0,2000,1,"subject","mean",0.68185,0.5701,0.7755,107,35186,328.841121495327,1,0.685085669781931,"Stroop_1","internal_consistency"
"22",0,100,2000,1,"subject","mean",0.71062,0.58576,0.79959,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"23",0.8,100,2000,1,"subject","mean",0.71002,0.60171,0.79256,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"24",0.9,100,2000,1,"subject","mean",0.70571,0.58934,0.78359,107,35135,328.364485981308,1,0.684092679127726,"Stroop_1","internal_consistency"
"25",0,200,2000,1,"subject","mean",0.71967,0.60013,0.80196,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"26",0.8,200,2000,1,"subject","mean",0.72956,0.62301,0.80316,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"27",0.9,200,2000,1,"subject","mean",0.72549,0.59329,0.80586,107,35103,328.065420560748,1,0.683469626168224,"Stroop_1","internal_consistency"
"28",0,0,3000,1,"subject","mean",0.74488,0.65796,0.81659,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"29",0.8,0,3000,1,"subject","mean",0.74215,0.66426,0.81994,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"30",0.9,0,3000,1,"subject","mean",0.742,0.66536,0.81404,107,36190,338.224299065421,1,0.704633956386293,"Stroop_1","internal_consistency"
"31",0,100,3000,1,"subject","mean",0.7606,0.66169,0.83504,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"32",0.8,100,3000,1,"subject","mean",0.76139,0.67293,0.83372,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"33",0.9,100,3000,1,"subject","mean",0.76138,0.66962,0.83453,107,36147,337.822429906542,1,0.703796728971963,"Stroop_1","internal_consistency"
"34",0,200,3000,1,"subject","mean",0.77368,0.68211,0.8382,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"35",0.8,200,3000,1,"subject","mean",0.77314,0.68648,0.84586,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"36",0.9,200,3000,1,"subject","mean",0.76932,0.67391,0.83994,107,36116,337.532710280374,1,0.703193146417445,"Stroop_1","internal_consistency"
"37",0,0,2000,2,"subject","mean",0.75698,0.67352,0.81803,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"38",0.8,0,2000,2,"subject","mean",0.752,0.67157,0.82132,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"39",0.9,0,2000,2,"subject","mean",0.75737,0.67751,0.8186,107,44853,419.18691588785,1,0.873306074766355,"Stroop_1","internal_consistency"
"40",0,100,2000,2,"subject","mean",0.76438,0.67713,0.83221,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"41",0.8,100,2000,2,"subject","mean",0.76369,0.67788,0.83507,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"42",0.9,100,2000,2,"subject","mean",0.76395,0.67712,0.83279,107,44811,418.794392523364,1,0.872488317757009,"Stroop_1","internal_consistency"
"43",0,200,2000,2,"subject","mean",0.76135,0.66229,0.83544,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"44",0.8,200,2000,2,"subject","mean",0.76197,0.67486,0.8361,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"45",0.9,200,2000,2,"subject","mean",0.76228,0.66945,0.83432,107,44779,418.495327102804,1,0.871865264797508,"Stroop_1","internal_consistency"
"46",0,0,3000,2,"subject","mean",0.76324,0.68489,0.82561,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"47",0.8,0,3000,2,"subject","mean",0.76491,0.69478,0.83186,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"48",0.9,0,3000,2,"subject","mean",0.7666,0.692,0.82789,107,45101,421.504672897196,1,0.878134735202492,"Stroop_1","internal_consistency"
"49",0,100,3000,2,"subject","mean",0.77427,0.69019,0.83923,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"50",0.8,100,3000,2,"subject","mean",0.77295,0.69247,0.83777,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"51",0.9,100,3000,2,"subject","mean",0.7745,0.68772,0.83882,107,45058,421.102803738318,1,0.877297507788162,"Stroop_1","internal_consistency"
"52",0,200,3000,2,"subject","mean",0.7737,0.68051,0.83707,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"53",0.8,200,3000,2,"subject","mean",0.76637,0.67929,0.8362,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
"54",0.9,200,3000,2,"subject","mean",0.77275,0.6865,0.84064,107,45026,420.803738317757,1,0.87667445482866,"Stroop_1","internal_consistency"
