"","ACC_cutoff","RT_min","RT_max","RT_sd_cutoff","split_by","averaging_method","estimate","low","high","nPar","nTrial","nTrialperPar","pPar","pTrial","task","measure"
"1",0,0,2000,0,"subject","mean",0.58039,0.44568,0.68783,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"2",0.8,0,2000,0,"subject","mean",0.57771,0.42373,0.6931,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"3",0.9,0,2000,0,"subject","mean",0.58274,0.4257,0.6971,107,23529,219.897196261682,1,0.916238317757009,"Stroop_1","internal_consistency"
"4",0,100,2000,0,"subject","mean",0.57629,0.42833,0.68653,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"5",0.8,100,2000,0,"subject","mean",0.57152,0.42768,0.68705,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"6",0.9,100,2000,0,"subject","mean",0.57706,0.42444,0.70055,107,23506,219.682242990654,1,0.915342679127726,"Stroop_1","internal_consistency"
"7",0,200,2000,0,"subject","mean",0.56208,0.37831,0.70346,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"8",0.8,200,2000,0,"subject","mean",0.55459,0.39361,0.67378,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"9",0.9,200,2000,0,"subject","mean",0.56373,0.40084,0.69324,107,23488,219.514018691589,1,0.914641744548287,"Stroop_1","internal_consistency"
"10",0,0,3000,0,"subject","mean",0.56351,0.4273,0.67964,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"11",0.8,0,3000,0,"subject","mean",0.57218,0.4338,0.69109,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"12",0.9,0,3000,0,"subject","mean",0.5638,0.41709,0.68957,107,23619,220.738317757009,1,0.919742990654206,"Stroop_1","internal_consistency"
"13",0,100,3000,0,"subject","mean",0.57168,0.4271,0.68989,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"14",0.8,100,3000,0,"subject","mean",0.56186,0.43415,0.68797,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"15",0.9,100,3000,0,"subject","mean",0.56482,0.40499,0.69897,107,23596,220.523364485981,1,0.918847352024922,"Stroop_1","internal_consistency"
"16",0,200,3000,0,"subject","mean",0.54871,0.37113,0.67034,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"17",0.8,200,3000,0,"subject","mean",0.54142,0.37842,0.66539,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"18",0.9,200,3000,0,"subject","mean",0.54492,0.37648,0.67298,107,23578,220.355140186916,1,0.918146417445483,"Stroop_1","internal_consistency"
"19",0,0,2000,1,"subject","mean",0.47788,0.29065,0.61917,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"20",0.8,0,2000,1,"subject","mean",0.48279,0.29029,0.62357,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"21",0.9,0,2000,1,"subject","mean",0.4784,0.29013,0.63221,107,17535,163.878504672897,1,0.682827102803738,"Stroop_1","internal_consistency"
"22",0,100,2000,1,"subject","mean",0.50448,0.33229,0.65518,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"23",0.8,100,2000,1,"subject","mean",0.49944,0.30038,0.65061,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"24",0.9,100,2000,1,"subject","mean",0.49921,0.31734,0.64015,107,17508,163.626168224299,1,0.681775700934579,"Stroop_1","internal_consistency"
"25",0,200,2000,1,"subject","mean",0.56906,0.41613,0.68685,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"26",0.8,200,2000,1,"subject","mean",0.56773,0.41985,0.68776,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"27",0.9,200,2000,1,"subject","mean",0.5665,0.39489,0.69033,107,17487,163.429906542056,1,0.680957943925234,"Stroop_1","internal_consistency"
"28",0,0,3000,1,"subject","mean",0.6043,0.45627,0.71431,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"29",0.8,0,3000,1,"subject","mean",0.60232,0.4668,0.71301,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"30",0.9,0,3000,1,"subject","mean",0.60555,0.45963,0.72771,107,18157,169.691588785047,1,0.707048286604361,"Stroop_1","internal_consistency"
"31",0,100,3000,1,"subject","mean",0.62331,0.49555,0.7303,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"32",0.8,100,3000,1,"subject","mean",0.61912,0.4805,0.73876,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"33",0.9,100,3000,1,"subject","mean",0.62314,0.47932,0.73996,107,18133,169.467289719626,1,0.706113707165109,"Stroop_1","internal_consistency"
"34",0,200,3000,1,"subject","mean",0.65689,0.53493,0.75302,107,18115,169.299065420561,1,0.70541277258567,"Stroop_1","internal_consistency"
